"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
968,"68","D","BOS","Amira Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,"68","D","BOS","Amira Spahic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
970,"68","M","ENG","Nobbs","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
971,"68","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,"68","D","ENG","Houghton","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
973,"68","D","ENG","Turner","passes.f.c",NA,NA,"corner.crosses","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
974,"68","F","ENG","J Scott","aerial.won",NA,NA,NA,"D","BOS","Amira Spahic","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
975,"68","F","ENG","J Scott","aerial.lost",NA,NA,NA,"M","BOS","Aleksic","aerial.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
976,"68","F","ENG","Duggan","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,"68","F","ENG","Duggan","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,"68","M","ENG","Davison","passes.s.c",NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,"68","-",NA,NA,NA,NA,NA,NA,"M","BOS","Aleksic","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,"68","-",NA,NA,NA,NA,NA,NA,"M","BOS","Aleksic","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,"68","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980,"68","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,"68","M","ENG","Bassett","passes.b.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,"68","-",NA,NA,NA,NA,NA,NA,"M","BOS","Nikolic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,"68","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983,"68","F","ENG","Duggan","passes.s",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,"68","D","BOS","Dijakovic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985,"68","D","BOS","Dijakovic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986,"68","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
987,"68","D","ENG","Houghton","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,"68","D","ENG","Stoney","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,"68","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,"68","D","ENG","Stokes","passes.f.c",NA,NA,NA,"M","BOS","Seslija","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
991,"69","F","ENG","Aluko","passes.s.c",NA,NA,"corner.crosses","D","BOS","M Hasanbegovic","pressured",NA,NA,NA,NA,"assists",NA,NA,NA,NA,NA
991,"69","-",NA,NA,NA,NA,NA,NA,"D","BOS","Dijakovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,"69","F","ENG","J Scott","shots.scored",NA,NA,NA,"GK","BOS","Hodzic","gk.s.o.g.scored",NA,NA,"diving",NA,NA,NA,NA,NA,NA,NA
992,"69","-",NA,NA,"playcutoffbybroadcast",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993,"69","D","BOS","M Hasanbegovic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
993,"70","-",NA,NA,"playcutoffbybroadcast",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,"70","D","ENG","Houghton","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
995,"70","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
996,"70","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,"70","D","ENG","Stokes","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998,"70","F","ENG","Duggan","dispossessed",NA,NA,NA,"F","BOS","Alisa Spahic","challenged",NA,NA,NA,"fouls.won",NA,"fouls.conceded","fc",NA,NA,NA
999,"70","F","ENG","Duggan","passes.f",NA,NA,"free.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,"70","-",NA,NA,NA,NA,NA,"corner.crosses","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,"70","D","BOS","Dijakovic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,"70","D","BOS","Dijakovic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,"71","M","BOS","Radeljic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,"71","M","BOS","Radeljic","dispossessed",NA,NA,NA,"D","ENG","Turner","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,"71","D","ENG","Turner","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,"71","D","ENG","Turner","lost.touch",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,"71","M","BOS","Hadzic","recoveries",NA,NA,NA,"D","ENG","Turner","challenged",NA,NA,NA,"fouls.won",NA,"fouls.conceded","fc",NA,NA,NA
1006,"71","-",NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,"yellow.cards","yellow.cards",NA,NA,NA
1007,"71","D","BOS","Kulis","passes.f",NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,"71","-",NA,NA,NA,NA,NA,"free.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,"71","D","ENG","Stoney",NA,NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,"71","D","ENG","Stoney","lost.touch",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,"71","M","BOS","Nikolic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,"72","M","BOS","Nikolic","movement",NA,NA,NA,"D","ENG","Stoney","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1012,"72","M","BOS","Nikolic","movement",NA,NA,NA,"D","ENG","Stoney","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,"72","M","BOS","Nikolic","passes.f",NA,NA,NA,"D","ENG","Stoney","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
1014,"72","GK","ENG","Bardsley","passes.f.c",NA,NA,"goal.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,"72","M","ENG","Nobbs","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,"72","M","ENG","Nobbs","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,"72","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,"72","D","ENG","Stokes","passes.f.c",NA,NA,NA,"D","BOS","Dijakovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,"72","F","ENG","Duggan","passes.f.c",NA,NA,"th","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1020,"72","D","ENG","Stokes","passes.s",NA,NA,"corner.crosses","D","BOS","Kulis","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,"72","M","BOS","Radeljic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,"72","M","BOS","Radeljic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,"73","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024,"73","D","ENG","Houghton","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,"73","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026,"73","F","ENG","J Scott","passes.f.c",NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,"73","D","ENG","Turner","passes.f",NA,NA,"corner.crosses","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,"73","F","ENG","Duggan","aerial.lost",NA,NA,NA,"D","BOS","Dijakovic","aerial.lost",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
1029,"73","GK","BOS","Hodzic","passes.f",NA,NA,"goal.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,"73","-",NA,NA,NA,NA,NA,"launh","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,"73","F","ENG","Duggan","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,"73","F","ENG","Duggan","dispossessed",NA,NA,NA,"M","BOS","Seslija","tackles.ball",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,"73","D","BOS","Dijakovic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,"73","D","BOS","Dijakovic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,"73","D","ENG","Stoney","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,"73","D","ENG","Stoney","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,"73","D","ENG","Houghton","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,"73","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038,"73","D","ENG","Turner","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,"73","D","ENG","Houghton","passes.f.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040,"73","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"M","BOS","Nikolic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1041,"73","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,"74","D","ENG","Stokes","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043,"74","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,"74","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,"74","F","ENG","Aluko","passes.b.c",NA,NA,NA,"M","BOS","Nikolic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046,"74","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,"74","F","ENG","J Scott","passes.s.c",NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048,"74","M","ENG","Davison","passes.f",NA,NA,NA,"D","BOS","Kulis","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,"74","D","BOS","Amira Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,"74","D","BOS","Amira Spahic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1051,"74","D","ENG","Stoney","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1052,"74","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1053,"74","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1054,"74","F","ENG","Duggan","passes.b.c",NA,NA,NA,"M","BOS","Nikolic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1055,"74","F","ENG","J Scott","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1056,"74","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,"74","F","ENG","Duggan","dispossessed",NA,NA,NA,"D","BOS","Dijakovic","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,"74","D","BOS","Dijakovic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1059,"74","D","ENG","Stoney","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1060,"74","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061,"74","F","ENG","Duggan","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062,"74","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,"74","F","ENG","Aluko","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,"74","D","ENG","Stokes","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,"74","F","ENG","Aluko","passes.f.c",NA,NA,"deep.crosses","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,"74","D","ENG","Turner","passes.s",NA,NA,NA,"M","BOS","Radeljic","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
1067,"75","F","ENG","Duggan","passes.s",NA,NA,"corner.kick","M","BOS","Aleksic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,"75","-",NA,NA,NA,NA,NA,"corner.crosses","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,"75","M","ENG","Nobbs","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,"75","M","ENG","Nobbs","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,"75","F","ENG","Duggan","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,"75","M","ENG","Davison","passes.b.c",NA,NA,NA,"M","BOS","Radeljic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072,"75","D","ENG","Turner","dispossessed",NA,NA,NA,"D","BOS","Kulis","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
1073,"75","D","ENG","Turner","passes.b.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,"76","M","ENG","Nobbs","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1075,"76","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1076,"76","D","ENG","Houghton","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,"76","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078,"76","D","ENG","Stokes","take.on.won",NA,NA,NA,"D","BOS","Dijakovic","dribbled.tackles.missed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,"76","D","ENG","Stokes","passes.s.c",NA,NA,"corner.crosses","M","BOS","Seslija","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,"76","-",NA,NA,NA,NA,NA,NA,"D","BOS","Amira Spahic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,"76","M","ENG","Nobbs","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,"76","M","ENG","Nobbs","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082,"76","M","ENG","Davison","passes.f",NA,NA,NA,"D","BOS","Kulis","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1083,"76","M","ENG","Davison","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1084,"76","M","ENG","Davison","passes.s.c",NA,NA,NA,"D","BOS","Kulis","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1085,"76","M","ENG","Nobbs","shots.missed",NA,NA,NA,"GK","BOS","Hodzic","gk.shot.miss",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
1086,"76","GK","BOS","Hodzic","passes.f",NA,NA,"goal.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1086,"76","-",NA,NA,NA,NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,"76","M","BOS","Nikolic","aerial.lost",NA,NA,NA,"F","ENG","J Scott","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,"76","F","BOS","Alisa Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,"76","F","BOS","Alisa Spahic","passes.f",NA,NA,"launch","M","ENG","Bassett","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1090,"77","GK","ENG","Bardsley","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,"77","GK","ENG","Bardsley","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1092,"77","D","ENG","Houghton","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,"77","D","ENG","Houghton","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1094,"77","D","ENG","Houghton","passes.f.c",NA,NA,"switch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1095,"77","F","ENG","Duggan","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1096,"77","F","ENG","Aluko","lost.touch",NA,NA,NA,"D","BOS","M Hasanbegovic","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1097,"77","F","ENG","Duggan","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,"77","F","ENG","Duggan","lost.touch",NA,NA,NA,"F","BOS","Alisa Spahic","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,"77","M","BOS","Nikolic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,"77","M","BOS","Nikolic","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,"77","M","BOS","Nikolic","movement",NA,NA,NA,"F","ENG","J Scott","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,"77","M","BOS","Nikolic","lost.touch",NA,NA,NA,"D","ENG","Stokes","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103,"77","M","BOS","Nikolic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,"77","M","BOS","Nikolic","clearances",NA,NA,NA,"D","ENG","Stokes","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
1105,"77","D","ENG","Stoney","passes.s.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,"77","GK","ENG","Bardsley","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1107,"77","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1108,"78","D","ENG","Turner","passes.f",NA,NA,NA,"M","BOS","Aleksic","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
1109,"78","D","ENG","Turner","passes.b.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,"78","D","ENG","Houghton","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,"78","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112,"78","M","ENG","Bassett","passes.f.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,"78","D","ENG","Stokes","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114,"78","M","ENG","Bassett","passes.s.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,"78","D","ENG","Stoney","passes.b.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116,"78","D","ENG","Houghton","passes.f.c",NA,NA,NA,"M","BOS","Seslija","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1117,"78","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"D","BOS","Amira Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1118,"78","F","ENG","J Scott","passes.f.c",NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,"78","M","ENG","Davison","passes.s",NA,NA,NA,"M","BOS","Aleksic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1120,"78","D","BOS","Amira Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,"78","D","BOS","Amira Spahic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1122,"78","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1123,"78","D","ENG","Houghton","passes.f",NA,NA,"corner.crosses","-",NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
1124,"79","GK","BOS","Hodzic","passes.f.c",NA,NA,"goal.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,"79","-",NA,NA,NA,NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,"79","M","BOS","Hadzic","a;",NA,NA,NA,"M","ENG","Nobbs","aerial.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126,"79","D","BOS","Dijakovic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,"79","D","BOS","Dijakovic","clearances",NA,NA,"headed","F","ENG","Duggan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,"79","-",NA,NA,NA,NA,NA,NA,"F","ENG","Aluko","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,"79","F","ENG","Duggan","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129,"79","F","ENG","Duggan","passes.s.c",NA,NA,NA,"D","BOS","Dijakovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129,"79","-",NA,NA,NA,NA,NA,NA,"M","BOS","Seslija","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,"79","D","ENG","Stokes","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,"79","F","ENG","Aluko","passes.f.c",NA,NA,NA,"D","BOS","M Hasanbegovic","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
